World Rank,Institution,Location,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
1381,Bowling Green State University,USA,265,-,758,-,1341,68.2
1382,Tanta University,Egypt,10,-,-,-,1319,68.2
1383,Tianjin University of Science and Technology,China,202,-,-,-,1320,68.2
1384,Hiroshima Institute of Technology,Japan,76,-,-,-,1322,68.2
1385,Guangzhou University of Chinese Medicine,China,203,-,-,-,1325,68.2
1386,Autonomous University of Nuevo León,Mexico,11,-,-,-,1327,68.2
1387,University of Central Lancashire,United Kingdom,76,-,1308,-,1328,68.2
1388,Oxford Brookes University,United Kingdom,77,-,-,-,1329,68.2
1389,Istanbul Bilgi University,Turkey,27,-,-,-,1330,68.2
1390,University of Jordan,Jordan,2,-,-,-,1332,68.2
1391,Antonio Nariño University,Colombia,4,-,-,-,1333,68.2
1392,XLRI - Xavier School of Management,India,32,-,52,-,-,68.2
1393,Uludağ University,Turkey,28,-,-,-,1334,68.2
1394,Tabriz University of Medical Sciences,Iran,20,-,-,-,1335,68.2
1395,Chosun University,South Korea,43,-,-,-,1336,68.2
1396,University of Malawi,Malawi,1,-,-,-,1337,68.2
1397,Selçuk University,Turkey,29,-,1535,-,1338,68.2
1398,Süleyman Demirel University,Turkey,30,-,-,-,1339,68.1
1399,Shanghai Ocean University,China,204,-,-,-,1340,68.1
1400,Chongqing University of Posts and Telecommunications,China,205,-,-,-,1342,68.1
1401,China Three Gorges University,China,206,-,1160,-,1345,68.1
1402,Pavol Jozef Šafárik University in Košice,Slovak Republic,2,-,-,-,1346,68.1
1403,Leuphana University of Lüneburg,Germany,61,-,-,-,1347,68.1
1404,"École supérieure de chimie, physique, électronique de Lyon",France,59,31,1205,-,-,68.1
1405,University of Nairobi,Kenya,1,-,1553,-,1348,68.1
1406,Carleton College,USA,266,78,299,-,1922,68.1
1407,Shimane University,Japan,77,-,-,-,1350,68.1
1408,École de technologie supérieure,Canada,33,-,-,-,1351,68.1
1409,"Indian Institute of Technology (Indian School of Mines), Dhanbad",India,33,-,668,-,1375,68.1
1410,San Jose State University,USA,267,252,1002,-,1394,68.1
1411,Thapar Institute of Engineering and Technology,India,34,-,1017,-,1358,68.1
1412,Anglia Ruskin University,United Kingdom,78,-,-,-,1352,68.1
1413,National Chengchi University,Taiwan,21,-,135,-,1755,68.1
1414,Chengdu University of Technology,China,207,-,-,-,1353,68.1
1415,Cha University,South Korea,44,-,-,-,1354,68.1
1416,South Central University for Nationalities,China,208,-,1600,-,1355,68.1
1417,National Kaohsiung University of Science and Technology,Taiwan,22,-,1586,-,1356,68.1
1418,University of Huddersfield,United Kingdom,79,-,1556,-,1359,68.1
1419,National University of Rosario,Argentina,4,-,-,-,1360,68.1
1420,Bohai University,China,209,-,1234,-,1363,68
1421,Pontifical Catholic University of Valparaíso,Chile,8,-,-,-,1362,68
1422,University of Beira Interior,Portugal,8,-,-,-,1364,68
1423,Guilin University of Electronic Technology,China,210,-,-,-,1365,68
1424,Fukuoka University,Japan,78,-,-,-,1366,68
1425,Anhui University of Technology,China,211,-,910,-,1376,68
1426,Zhejiang Gongshang University,China,212,-,1325,-,1367,68
1427,Hampton University,USA,268,-,-,-,1368,68
1428,Western Michigan University,USA,269,-,1383,-,1370,68
1429,Texas Christian University,USA,270,-,-,-,1369,68
1430,Istanbul Aydın University,Turkey,31,-,-,-,1371,68
1431,National Chung Cheng University,Taiwan,23,-,-,-,1372,68
1432,Shanxi Medical University,China,213,-,-,-,1373,68
1433,Indian Institute of Technology Indore,India,35,-,-,-,1374,68
1434,University of South Alabama,USA,271,-,-,-,1377,68
1435,Akdeniz University,Turkey,32,-,-,-,1378,68
1436,University of San Francisco,USA,272,-,106,-,1995,68
1437,Fukushima Medical University,Japan,79,-,-,-,1379,68
1438,"National Institute of Technology, Rourkela",India,36,-,262,-,1512,68
1439,Kwame Nkrumah University of Science and Technology,Ghana,2,515,-,-,1380,68
1440,Karadeniz Technical University,Turkey,33,-,1208,-,1384,68
1441,Indian Institute of Technology Hyderabad,India,37,-,-,-,1382,68
1442,Yantai University,China,214,-,-,-,1383,67.9
1443,Guglielmo Marconi University,Italy,58,-,-,-,1385,67.9
1444,Savitribai Phule Pune University,India,38,534,1272,-,1387,67.9
1445,University of Occupational and Environmental Health Japan,Japan,80,-,-,-,1386,67.9
1446,Xi'an University of Architecture and Technology,China,215,-,985,-,1396,67.9
1447,University of Perpignan,France,60,-,-,-,1388,67.9
1448,Humanitas University,Italy,59,-,-,-,1389,67.9
1449,University of La Frontera,Chile,9,-,-,-,1390,67.9
1450,Williams College,USA,273,149,137,-,1950,67.9
1451,Kagawa University,Japan,81,-,954,-,1399,67.9
1452,"California State University, Long Beach",USA,274,-,1478,-,1391,67.9
1453,Michoacán University of San Nicolás of Hidalgo,Mexico,12,-,-,-,1393,67.9
1454,University of Isfahan,Iran,21,-,-,-,1395,67.9
1455,"Birla Institute of Technology and Science, Pilani",India,39,-,455,-,1449,67.9
1456,Central Michigan University,USA,275,-,955,-,1401,67.9
1457,Feng Chia University,Taiwan,24,-,501,-,1442,67.9
1458,Trent University,Canada,34,-,1321,-,1398,67.9
1459,University of Veterinary Medicine Hanover,Germany,62,383,-,-,1404,67.9
1460,University of Toulouse-Jean Jaurès,France,61,-,-,-,1397,67.9
1461,Doshisha University,Japan,82,-,128,-,1841,67.9
1462,Kwansei Gakuin University,Japan,83,-,126,-,1844,67.9
1463,University of Electro-Communications,Japan,84,-,-,-,1402,67.9
1464,State University of Londrina,Brazil,36,-,-,-,1403,67.8
1465,Medical University of Lublin,Poland,25,-,-,-,1405,67.8
1466,Rowan University,USA,276,-,-,-,1406,67.8
1467,Western Norway University of Applied Sciences,Norway,8,-,-,-,1407,67.8
1468,Yangtze University,China,216,-,1054,-,1409,67.8
1469,North China University of Science and Technology,China,217,-,-,-,1408,67.8
1470,Inner Mongolia University,China,218,-,-,-,1410,67.8
1471,Ilia State University,Georgia,2,-,-,-,1411,67.8
1472,Taras Shevchenko National University of Kyiv,Ukraine,2,-,-,-,1412,67.8
1473,Alexandru Ioan Cuza University of Iaşi,Romania,6,-,-,-,1413,67.8
1474,University of Avignon,France,62,-,-,-,1414,67.8
1475,Incheon National University,South Korea,45,-,-,-,1415,67.8
1476,Tallinn University of Technology,Estonia,2,-,-,-,1416,67.8
1477,Pomeranian Medical University in Szczecin,Poland,26,-,-,-,1417,67.8
1478,Al-Azhar University,Egypt,11,-,1616,-,1418,67.8
1479,Hebei Normal University,China,219,-,1114,-,1420,67.8
1480,Ball State University,USA,277,-,506,-,1465,67.8
1481,Ontario Tech University,Canada,35,-,-,-,1419,67.8
1482,University of South Dakota,USA,278,295,-,-,1436,67.8
1483,Shihezi University,China,220,-,-,-,1421,67.8
1484,Medical University Sofia,Bulgaria,2,-,-,-,1422,67.8
1485,Lanzhou University of Technology,China,221,-,-,-,1423,67.8
1486,Hanken School of Economics,Finland,10,-,84,-,-,67.8
1487,Army Engineering University of PLA,China,222,-,-,-,1424,67.7
1488,Institute of Tropical Medicine Antwerp,Belgium,11,-,-,-,1425,67.7
1489,Montclair State University,USA,279,-,1400,-,1426,67.7
1490,V.A. Steklov Mathematical Institute of the Russian Academy of Sciences,Russia,25,-,-,244,1663,67.7
1491,Baruch College,USA,280,-,701,263,1586,67.7
1492,"Vietnam National University, Ho Chi Minh City",Vietnam,4,-,-,-,1427,67.7
1493,Kyoto University of Education,Japan,85,-,-,-,1428,67.7
1494,Federal University of Technology - Paraná,Brazil,37,-,-,-,1429,67.7
1495,University of Minnesota Duluth,USA,281,306,1314,-,1447,67.7
1496,Beni Suef University,Egypt,12,-,-,-,1430,67.7
1497,Shanghai Maritime University,China,223,-,466,-,1488,67.7
1498,Freiberg University of Mining and Technology,Germany,63,-,-,-,1431,67.7
1499,National Institute of Amazonian Research (INPA),Brazil,38,-,-,-,1432,67.7
1500,Hamburg University of Technology,Germany,64,-,-,-,1433,67.7
1501,University of Sannio,Italy,60,-,-,-,1434,67.7
1502,Helwan University,Egypt,13,-,-,-,1435,67.7
1503,Nova Southeastern University,USA,282,-,1019,-,1439,67.7
1504,Pontifical Catholic University of Rio Grande do Sul,Brazil,39,-,920,-,1444,67.7
1505,Vienna University of Economics and Business,Austria,15,-,146,-,1837,67.7
1506,Cayetano Heredia Peruvian University,Peru,1,-,-,-,1437,67.7
1507,University of Salford,United Kingdom,80,-,1416,-,1438,67.7
1508,University of Huelva,Spain,47,-,-,-,1440,67.7
1509,Kunming Medical University,China,224,-,-,-,1441,67.7
1510,Tamkang University,Taiwan,25,-,1296,-,1443,67.6
1511,Poznań University of Life Sciences,Poland,27,-,-,-,1445,67.6
1512,Federal University of Sergipe,Brazil,40,-,-,-,1446,67.6
1513,Beijing University of Chinese Medicine,China,225,-,-,-,1450,67.6
1514,Ochanomizu University,Japan,86,-,-,-,1451,67.6
1515,University of Trás-os-Montes and Alto Douro,Portugal,9,-,-,-,1452,67.6
1516,De Montfort University,United Kingdom,81,-,1588,-,1453,67.6
1517,Peoples' Friendship University of Russia,Russia,26,-,911,-,1464,67.6
1518,Shenyang Agricultural University,China,226,-,-,-,1454,67.6
1519,Institute for Pure and Applied Mathematics (IMPA),Brazil,41,96,-,224,-,67.6
1520,University of Sharjah,United Arab Emirates,3,-,-,-,1455,67.6
1521,Poznań University of Technology,Poland,28,-,-,-,1456,67.6
1522,University of Tulsa,USA,283,-,210,-,1689,67.6
1523,Witten/Herdecke University,Germany,65,-,-,-,1457,67.6
1524,Tianjin Normal University,China,227,-,-,-,1458,67.6
1525,Grinnell College,USA,284,47,-,-,-,67.6
1526,Clarkson University,USA,285,-,857,-,1473,67.6
1527,Institute of Applied Physics of the Russian Academy of Sciences,Russia,27,-,-,-,1459,67.6
1528,Kyushu Institute of Technology,Japan,87,-,-,-,1460,67.6
1529,University of Évora,Portugal,10,-,1493,-,1462,67.6
1530,Transilvania University of Brașov,Romania,7,-,-,-,1463,67.6
1531,Nagoya Institute of Technology,Japan,88,-,1423,-,1466,67.6
1532,Seoul National University of Science and Technology,South Korea,46,-,-,-,1467,67.6
1533,University of Southern Mississippi,USA,286,-,-,-,1468,67.5
1534,École nationale vétérinaire d'Alfort,France,63,-,78,-,-,67.5
1535,Beijing Technology and Business University,China,228,-,746,-,1482,67.5
1536,"Federal Institute of Education, Science and Technology of Rio Grande do Sul",Brazil,42,-,-,-,1469,67.5
1537,University of Warmia and Mazury in Olsztyn,Poland,29,-,-,-,1470,67.5
1538,University of Guilan,Iran,22,-,-,-,1471,67.5
1539,International Islamic University Malaysia,Malaysia,6,-,-,-,1472,67.5
1540,Kookmin University,South Korea,47,-,1363,-,1475,67.5
1541,Shiga University of Medical Science,Japan,89,-,-,-,1474,67.5
1542,University of Latvia,Latvia,1,-,-,-,1476,67.5
1543,Fairfield University,USA,287,-,504,-,1525,67.5
1544,Dongguan University of Technology,China,229,-,-,-,1477,67.5
1545,Sabancı University,Turkey,34,-,1171,-,1478,67.5
1546,"National Institute of Technology, Tiruchirappalli",India,40,-,313,-,1599,67.5
1547,Maria Curie-Skłodowska University,Poland,30,-,1409,-,1479,67.5
1548,Middlesex University,United Kingdom,82,507,1037,-,1484,67.5
1549,University of Rijeka,Croatia,3,-,-,-,1480,67.5
1550,Liaoning University,China,230,-,995,-,1487,67.5
1551,Lincoln University,New Zealand,8,-,-,-,1481,67.5
1552,Hunan University of Science and Technology,China,231,-,-,-,1483,67.5
1553,University of Indonesia,Indonesia,1,-,642,-,1509,67.5
1554,University of Lethbridge,Canada,36,301,-,-,1505,67.5
1555,SRM Institute of Science and Technology,India,41,-,-,-,1485,67.5
1556,I-Shou University,Taiwan,26,-,-,-,1486,67.4
1557,Arts et Métiers Sciences et Technologies,France,64,392,462,-,1561,67.4
1558,North University of China,China,232,-,-,-,1489,67.4
1559,University of Gondar,Ethiopia,2,-,-,-,1490,67.4
1560,"Indian Statistical Institute, Kolkata",India,42,211,-,-,1545,67.4
1561,King Mongkut's University of Technology Thonburi,Thailand,7,-,1362,-,1493,67.4
1562,Technical University of Ilmenau,Germany,66,-,-,-,1491,67.4
1563,Sheffield Hallam University,United Kingdom,83,-,1609,-,1492,67.4
1564,Fırat University,Turkey,35,-,-,-,1494,67.4
1565,Hamamatsu University School of Medicine,Japan,90,-,-,-,1495,67.4
1566,Shandong University of Technology,China,233,-,1471,-,1497,67.4
1567,Indian Institute of Technology (BHU) Varanasi,India,43,-,793,-,1508,67.4
1568,Zhejiang Chinese Medical University,China,234,-,-,-,1496,67.4
1569,Semnan University,Iran,23,-,-,-,1498,67.4
1570,Utah Valley University,USA,288,-,-,-,1499,67.4
1571,Kingston University,United Kingdom,84,463,531,-,1550,67.4
1572,Tamil Nadu Dr. M.G.R. Medical University,India,44,-,-,-,1500,67.4
1573,National University of the Littoral,Argentina,5,-,-,-,1501,67.4
1574,Wakayama Medical University,Japan,91,-,-,-,1502,67.4
1575,Open University of Catalonia,Spain,48,-,-,207,-,67.4
1576,Shahid Bahonar University of Kerman,Iran,24,-,-,-,1503,67.4
1577,Texas Tech University Health Sciences Center,USA,289,-,-,-,1504,67.4
1578,DePaul University,USA,290,365,572,-,1555,67.4
1579,Pontifical Javeriana University,Colombia,5,-,1181,-,1507,67.4
1580,N.N. Semenov Institute of Chemical Physics of the Russian Academy of Sciences,Russia,28,-,-,208,-,67.3
1581,Pontifical Catholic University of Peru,Peru,2,-,1339,-,1506,67.3
1582,CY Cergy Paris University,France,65,-,-,-,1510,67.3
1583,University of Zambia,Zambia,1,-,-,-,1511,67.3
1584,Rikkyo University,Japan,92,479,385,-,1615,67.3
1585,Trinity University,USA,291,-,145,-,1975,67.3
1586,Illinois State University,USA,292,-,768,-,1531,67.3
1587,Doğuş University,Turkey,36,-,-,-,1513,67.3
1588,MARA University of Technology,Malaysia,7,-,-,-,1514,67.3
1589,Razi University,Iran,25,-,-,-,1515,67.3
1590,Lobachevsky University,Russia,29,-,1333,-,1517,67.3
1591,Sapporo Medical University,Japan,93,-,-,-,1516,67.3
1592,Ariel University,Israel,8,-,-,-,1518,67.3
1593,University of Peradeniya,Sri Lanka,1,-,-,-,1519,67.3
1594,Indian Institute of Technology Bhubaneswar,India,45,-,-,-,1520,67.3
1595,Iuliu Hațieganu University of Medicine and Pharmacy,Romania,8,-,-,-,1521,67.3
1596,University of Agder,Norway,9,-,-,-,1522,67.3
1597,Ibaraki University,Japan,94,-,-,-,1523,67.3
1598,University of Kashan,Iran,26,-,-,-,1524,67.3
1599,Yuan Ze University,Taiwan,27,-,-,-,1527,67.3
1600,Norwegian School of Sport Sciences,Norway,10,-,-,-,1529,67.3
1601,National University of Cuyo,Argentina,6,-,-,-,1530,67.3
1602,Huzhou University,China,235,-,-,-,1532,67.3
1603,Bu-Ali Sina University,Iran,27,-,-,-,1533,67.3
1604,University of Guanajuato,Mexico,13,-,1346,-,1535,67.2
1605,Hamad Bin Khalifa University,Qatar,2,-,-,-,1534,67.2
1606,National University of Mar del Plata,Argentina,7,-,-,-,1536,67.2
1607,Glasgow Caledonian University,United Kingdom,85,-,-,-,1537,67.2
1608,Mimar Sinan Fine Arts University,Turkey,37,-,-,-,1538,67.2
1609,King Khalid University,Saudi Arabia,6,-,-,-,1539,67.2
1610,Pontifical Catholic University of Rio de Janeiro,Brazil,43,-,346,-,1661,67.2
1611,Eastern Virginia Medical School,USA,293,-,-,-,1540,67.2
1612,"California State University, Los Angeles",USA,294,-,840,-,1553,67.2
1613,Nara Medical University,Japan,95,-,-,-,1541,67.2
1614,Aichi Medical University,Japan,96,-,-,-,1542,67.2
1615,Shanghai University of Electric Power,China,236,-,-,-,1543,67.2
1616,Claremont Graduate University,USA,295,303,-,271,1665,67.2
1617,Harbin University of Science and Technology,China,237,-,-,-,1544,67.2
1618,Lithuanian University of Health Sciences,Lithuania,2,-,-,-,1546,67.2
1619,Hebei Agricultural University,China,238,-,-,-,1547,67.2
1620,"Queens College, City University of New York",USA,296,-,804,-,1568,67.2
1621,Iwate Medical University,Japan,97,-,-,-,1548,67.2
1622,University of Kragujevac,Serbia,3,-,-,-,1549,67.2
1623,Ohio Wesleyan University,USA,297,62,152,-,-,67.2
1624,University of Valparaíso,Chile,10,-,-,-,1551,67.2
1625,Guangdong Medical University,China,239,-,-,-,1552,67.2
1626,Zhengzhou University of Light Industry,China,240,-,-,-,1554,67.2
1627,Federal Rural University of Pernambuco,Brazil,44,-,-,-,1556,67.2
1628,Catholic University of the North,Chile,11,-,-,-,1557,67.1
1629,Slovak University of Technology in Bratislava,Slovak Republic,3,-,-,-,1558,67.1
1630,Medical University of Białystok,Poland,31,-,-,-,1560,67.1
1631,Cleveland State University,USA,298,-,822,-,1576,67.1
1632,Chapman University,USA,299,-,1022,-,1569,67.1
1633,ISCTE – University Institute of Lisbon,Portugal,11,-,605,-,1606,67.1
1634,Myongji University,South Korea,48,-,1591,-,1562,67.1
1635,University of Niš,Serbia,4,-,-,-,1563,67.1
1636,Nelson Mandela University,South Africa,12,-,1327,-,1565,67.1
1637,Government College University Faisalabad,Pakistan,7,-,-,-,1564,67.1
1638,Imam Abdulrahman Bin Faisal University,Saudi Arabia,7,-,-,-,1566,67.1
1639,University of Caen Normandy,France,66,-,-,-,1567,67.1
1640,Nanchang Hangkong University,China,241,-,1563,-,1570,67.1
1641,University of Massachusetts Dartmouth,USA,300,-,1269,-,1574,67.1
1642,Georgian Technical University,Georgia,3,-,-,-,1572,67.1
1643,University of Trier,Germany,67,-,-,-,1573,67.1
1644,Catholic University of Portugal,Portugal,12,-,600,-,1618,67.1
1645,Changchun University of Science and Technology,China,242,-,-,-,1575,67.1
1646,Thammasat University,Thailand,8,-,461,-,1650,67.1
1647,Zhongnan University of Economics and Law,China,243,-,141,-,-,67.1
1648,Henan University of Technology,China,244,-,-,-,1578,67.1
1649,University of Molise,Italy,61,-,-,-,1579,67.1
1650,Central South University of Forestry and Technology,China,245,-,-,-,1580,67.1
1651,Kwangwoon University,South Korea,49,-,-,-,1581,67.1
1652,Agricultural University of Athens,Greece,10,-,-,-,1582,67.1
1653,Oslo Metropolitan University,Norway,11,-,-,-,1583,67
1654,Taibah University,Saudi Arabia,8,-,-,-,1584,67
1655,Georgia Southern University,USA,301,-,-,-,1585,67
1656,University of Leoben,Austria,16,-,-,-,1587,67
1657,Ondokuz Mayıs University,Turkey,38,-,-,-,1588,67
1658,Menoufia University,Egypt,14,-,-,-,1589,67
1659,Near East University,Northern Cyprus,1,-,1576,-,1590,67
1660,Guilin University of Technology,China,246,-,-,-,1591,67
1661,Bharathiar University,India,46,-,1361,-,1592,67
1662,Indian Institute of Management Calcutta,India,47,-,71,-,-,67
1663,University of North Carolina Wilmington,USA,302,-,-,-,1593,67
1664,Laurentian University,Canada,37,-,409,-,1695,67
1665,Kocaeli University,Turkey,39,-,-,-,1594,67
1666,Kyorin University,Japan,98,-,-,-,1595,67
1667,Mendel University in Brno,Czech Republic,9,-,-,-,1596,67
1668,Sichuan Normal University,China,247,-,-,-,1597,67
1669,Wonkwang University,South Korea,50,-,-,-,1598,67
1670,BI Norwegian Business School,Norway,12,-,426,256,1930,67
1671,University of Ruhuna,Sri Lanka,2,-,-,-,1600,67
1672,"University of San Francisco, Quito",Ecuador,1,-,-,-,1601,67
1673,G.K. Boreskov Institute of Catalysis of the Siberian Branch of the Russian Academy of Sciences,Russia,30,-,-,-,1602,67
1674,Harokopio University,Greece,11,-,-,-,1603,67
1675,University of Fukui,Japan,99,-,-,-,1604,67
1676,Krasnoyarsk Science Center of the Siberian Branch of the Russian Academy of Sciences,Russia,31,-,-,-,1605,67
1677,Jamia Millia Islamia,India,48,-,-,-,1607,66.9
1678,Federal University of Rio Grande,Brazil,45,-,-,-,1608,66.9
1679,Central Queensland University,Australia,36,-,-,-,1609,66.9
1680,Federation University Australia,Australia,37,-,-,-,1610,66.9
1681,Western Washington University,USA,303,-,1231,-,1614,66.9
1682,Gangneung-Wonju National University,South Korea,51,-,-,-,1611,66.9
1683,Xi'an Jiaotong-Liverpool University,China,248,-,-,-,1612,66.9
1684,Yazd University,Iran,28,-,-,-,1613,66.9
1685,"California State University, Sacramento",USA,304,-,581,-,1657,66.9
1686,University of the West of Scotland,United Kingdom,86,-,1349,-,1616,66.9
1687,Comillas Pontifical University,Spain,49,-,133,-,-,66.9
1688,National Dong Hwa University,Taiwan,28,-,-,-,1617,66.9
1689,Estonian University of Life Sciences,Estonia,3,-,-,-,1619,66.9
1690,University of La Rioja,Spain,50,-,-,-,1620,66.9
1691,Space Research Institute of the Russian Academy of Sciences,Russia,32,-,-,266,1773,66.9
1692,James Madison University,USA,305,-,834,-,1638,66.9
1693,Payame Noor University,Iran,29,-,-,-,1621,66.9
1694,Southwest Medical University,China,249,-,-,-,1622,66.9
1695,Indian Institute of Technology Gandhinagar,India,49,-,-,-,1623,66.9
1696,University of Westminster,United Kingdom,87,286,1172,-,1652,66.9
1697,Appalachian State University,USA,306,-,1165,-,1630,66.9
1698,Bahçeşehir University,Turkey,40,-,-,-,1624,66.9
1699,China West Normal University,China,250,-,-,-,1625,66.9
1700,University of Peshawar,Pakistan,8,-,-,-,1626,66.9
1701,Free University of Bozen-Bolzano,Italy,62,-,-,-,1627,66.9
1702,University of Malta,Malta,1,-,-,-,1628,66.8
1703,Minia University,Egypt,15,-,-,-,1629,66.8
1704,University of Québec at Trois-Rivières,Canada,38,-,-,-,1631,66.8
1705,Pontifical Catholic University of Paraná,Brazil,46,-,1601,-,1632,66.8
1706,Irkutsk Scientific Center of the Siberian Branch of the Russian Academy of Sciences,Russia,33,-,-,-,1633,66.8
1707,Roskilde University,Denmark,7,-,-,-,1634,66.8
1708,Guangdong Pharmaceutical University,China,251,-,-,-,1635,66.8
1709,Institute for Nuclear Research of the National Academy of Sciences of Ukraine,Ukraine,3,-,-,-,1636,66.8
1710,Marshall University,USA,307,426,431,-,1725,66.8
1711,University of the Philippines Manila,Philippines,2,-,933,-,1648,66.8
1712,Tzu Chi University,Taiwan,29,-,-,-,1637,66.8
1713,Southern Federal University,Russia,34,-,-,-,1639,66.8
1714,Xinjiang Medical University,China,252,-,-,-,1640,66.8
1715,Urmia University,Iran,30,-,-,-,1641,66.8
1716,Suranaree University of Technology,Thailand,9,-,-,-,1642,66.8
1717,A.A. Kharkevich Institute for Information Transmission Problems of the Russian Academy of Sciences,Russia,35,-,-,-,1643,66.8
1718,Brooklyn College,USA,308,132,1557,-,1862,66.8
1719,Foshan University,China,253,-,-,-,1644,66.8
1720,College of Charleston,USA,309,-,-,-,1645,66.8
1721,Yunnan Normal University,China,254,-,-,-,1646,66.8
1722,University of Agriculture in Krakow,Poland,32,-,-,-,1647,66.8
1723,Benha University,Egypt,16,-,-,-,1649,66.8
1724,Diego Portales University,Chile,12,-,-,-,1651,66.8
1725,University of Koblenz-Landau,Germany,68,-,-,-,1653,66.8
1726,Amrita Vishwa Vidyapeetham,India,50,-,-,-,1655,66.8
1727,Malmö University,Sweden,15,-,-,-,1656,66.8
1728,Sookmyung Women's University,South Korea,52,-,930,-,1664,66.7
1729,Cyprus University of Technology,Cyprus,2,-,-,-,1658,66.7
1730,St. John's University,USA,310,-,206,-,1981,66.7
1731,Cooper Union,USA,311,46,623,-,-,66.7
1732,University of South-Eastern Norway,Norway,13,-,-,-,1659,66.7
1733,Kongju National University,South Korea,53,-,-,-,1660,66.7
1734,Polytechnic University of Cartagena,Spain,51,-,-,-,1662,66.7
1735,Alfaisal University,Saudi Arabia,9,-,-,-,1666,66.7
1736,"Goldsmiths, University of London",United Kingdom,88,335,-,-,1692,66.7
1737,International University of Health and Welfare,Japan,100,-,-,-,1667,66.7
1738,European University Institute,Italy,63,-,-,-,1668,66.7
1739,Akita University,Japan,101,-,-,-,1669,66.7
1740,V.M. Glushkov Institute of Cybernetics of the National Academy of Sciences of Ukraine,Ukraine,4,-,-,-,1670,66.7
1741,St. Marianna University School of Medicine,Japan,102,-,-,-,1671,66.7
1742,Xi'an University of Science and Technology,China,255,-,980,-,1684,66.7
1743,Polytechnic Institute of Porto,Portugal,13,-,-,-,1672,66.7
1744,Xinxiang Medical University,China,256,-,-,-,1673,66.7
1745,Central European University,Hungary,7,-,-,-,1674,66.7
1746,Bahauddin Zakariya University,Pakistan,9,-,-,-,1675,66.7
1747,Mae Fah Luang University,Thailand,10,-,-,-,1676,66.7
1748,Polytechnic University of Hauts-de-France,France,67,-,-,-,1677,66.7
1749,Federal University of Mato Grosso,Brazil,47,-,-,-,1678,66.7
1750,Iwate University,Japan,103,-,-,-,1679,66.7
1751,Shanghai University of Engineering Science,China,257,-,1552,-,1681,66.7
1752,Chongqing Technology and Business University,China,258,-,-,-,1680,66.7
1753,Hongik University,South Korea,54,-,1023,-,1691,66.6
1754,University of Notre Dame Australia,Australia,38,-,-,-,1682,66.6
1755,Linyi University,China,259,-,-,-,1685,66.6
1756,Taif University,Saudi Arabia,10,-,-,-,1686,66.6
1757,Federal University of Triângulo Mineiro,Brazil,48,-,-,-,1687,66.6
1758,University of Jammu,India,51,-,-,-,1688,66.6
1759,Ludong University,China,260,-,-,-,1690,66.6
1760,Necmettin Erbakan University,Turkey,41,-,-,-,1693,66.6
1761,Xinyang Normal University,China,261,-,-,-,1694,66.6
1762,New Mexico Institute of Mining and Technology,USA,312,-,-,-,1696,66.6
1763,Jilin Agricultural University,China,262,-,-,-,1697,66.6
1764,University of Zimbabwe,Zimbabwe,1,-,1109,-,1700,66.6
1765,Nazarbayev University,Kazakhstan,1,-,-,-,1698,66.6
1766,University of Zielona Góra,Poland,33,-,-,-,1699,66.6
1767,University of Cassino and Southern Lazio,Italy,64,-,-,-,1701,66.6
1768,Anadolu University,Turkey,42,-,-,-,1702,66.6
1769,Jackson State University,USA,313,-,-,-,1703,66.6
1770,Kermanshah University of Medical Sciences,Iran,31,-,-,-,1704,66.6
1771,A.M. Prokhorov General Physics Institute of the Russian Academy of Sciences,Russia,36,-,-,-,1705,66.6
1772,Eulji University,South Korea,55,-,-,-,1706,66.6
1773,University of Dhaka,Bangladesh,1,-,-,-,1707,66.6
1774,Kansai Medical University,Japan,104,-,-,-,1708,66.6
1775,University of Nigeria,Nigeria,2,-,1623,-,1709,66.6
1776,University of Kurdistan,Iran,32,-,-,-,1710,66.6
1777,Chongqing Normal University,China,263,-,-,-,1711,66.6
1778,Jiaxing University,China,264,-,-,-,1712,66.6
1779,Jiangxi University of Science and Technology,China,265,-,1621,-,1713,66.5
1780,Hankuk University of Foreign Studies,South Korea,56,-,348,-,1858,66.5
1781,Industrial University of Santander,Colombia,6,-,-,-,1714,66.5
1782,Shanghai Institute of Technology,China,266,-,-,-,1715,66.5
1783,Mekelle University,Ethiopia,3,-,-,-,1716,66.5
1784,Karlstad University,Sweden,16,-,1237,-,1719,66.5
1785,Kennesaw State University,USA,314,-,-,-,1717,66.5
1786,National University of the South,Argentina,8,-,-,-,1718,66.5
1787,South Dakota School of Mines and Technology,USA,315,134,-,-,1965,66.5
1788,Shanxi Agricultural University,China,267,-,-,-,1720,66.5
1789,University of La Rochelle,France,68,-,-,-,1721,66.5
1790,Wrocław University of Environmental and Life Sciences,Poland,34,-,-,-,1722,66.5
1791,University of the Philippines Diliman,Philippines,3,-,-,-,1723,66.5
1792,PETRONAS University of Technology,Malaysia,8,-,-,-,1724,66.5
1793,Embry-Riddle Aeronautical University,USA,316,-,1450,-,1726,66.5
1794,Oita University,Japan,105,-,-,-,1727,66.5
1795,University of Bialystok,Poland,35,-,-,-,1728,66.5
1796,Technological Institute of Aeronautics,Brazil,49,-,144,-,-,66.5
1797,Manisa Celal Bayar University,Turkey,43,-,-,-,1729,66.5
1798,Catholic University of Daegu,South Korea,57,-,-,-,1730,66.5
1799,East Tennessee State University,USA,317,-,-,-,1731,66.5
